"LAKE_ID","MAXFT"
"0302SOD0096",-999
"0303NOR1041",-999
"1501LUC0982B",4.05
"1302CAR0062A",6.6
"1310NAS0034",9.8
"0906BLA0001",10
"0602MEL0039",15.42
"1104GOO0672A",15.42
"1701LFR0662",19.7
"0705COM0333",20
"1402WOL0037",21.29
"0705DUC0222",21.33
"0602BRA0154",27
"1310COP0108",29.5
"1308ROB0902",29.53
"0602PET0078",30.19
"0602EAR0146",32.81
"1102BAB1109",37.73
"0403SIL0115",38.06
"0202FIN0153",38.39
"1310QUE0057",40
"0703TUS0153A",41.67
"0602MOR0152",42.65
"0601CAN0392",42.7
"0703CAZ0153",45
"0602LEB0153",45
"1401ANA0251",45.28
"1302WAC0117",46.59
"0906BUT0054",47.57
"1104GAR0520",48.68
"0201CUB0115",48.89
"0602EAT0163",50
"1005GLE0441",50
"0703DER0139A",52.5
"1104BRA0347",60
"1104SAC0314",62.32
"0602CRO0073",62.34
"0602HAT0155",63
"0402CON0067",66
"0202CHA0122",75
"0906BON0024",75
"1204MAD1051",76.45
"0801SEC0782B",80.03
"1404OQU0383",114.83
"1104SCH0374",151.86
"0706OWA0212",177.17
